code,name,icao,iata,wmo,msc_id,country,province_territory,lat,lon,station_type,sources_available,data_provider
09AA-M1,Tagish Tower,09AA-M1,09AA-M1,,YT-DE-WRB_09AA-M1,Canada,YT,60.28167,-134.17603,airport,geomet,MSC
09AA-M3,Montana Mountain,09AA-M3,09AA-M3,,YT-DE-WRB_09AA-M3,Canada,YT,60.13385,-134.71945,airport,geomet,MSC
09BA-M7,Twin Creeks B,09BA-M7,09BA-M7,,YT-DE-WRB_09BA-M7,Canada,YT,62.61939,-131.26337,airport,geomet,MSC
09BB-M2,Mac Millan Pass,09BB-M2,09BB-M2,,YT-DE-WRB_09BB-M2,Canada,YT,63.2425,-130.043,airport,geomet,MSC
09DB-M1,Withers Lake,09DB-M1,09DB-M1,,YT-DE-WRB_09DB-M1,Canada,YT,63.98017,-132.29792,airport,geomet,MSC
09EA-M1,King Solomon Dome,09EA-M1,09EA-M1,,YT-DE-WRB_09EA-M1,Canada,YT,63.87439,-138.93145,airport,geomet,MSC
09FA-M1,Fishing Branch River,09FA-M1,09FA-M1,,YT-DE-WRB_09FA-M1,Canada,YT,66.52587,-139.24715,airport,geomet,MSC
1,Main Brook,1,1,,NL-DFFA_001,Canada,NL,51.121364,-56.36245,airport,geomet,MSC
10,S of Berry Hill Pond,10,10,,NL-DFFA_010,Canada,NL,48.292861,-55.468667,airport,geomet,MSC
1002,TS ELPHINSTONE,1002,1002,,BC_WMB_1002,Canada,BC,49.42805,-123.56484,airport,geomet,MSC
101,MACHMELL,101,101,,BC_WMB_101,Canada,BC,51.59312,-126.45077,airport,geomet,MSC
1024,SKOONKA,1024,1024,,BC_WMB_1024,Canada,BC,50.43869,-121.5515,airport,geomet,MSC
1025,TS THEODOSIA,1025,1025,,BC_WMB_1025,Canada,BC,50.10348,-124.61373,airport,geomet,MSC
1029,FIVE MILE,1029,1029,,BC_WMB_1029,Canada,BC,50.91089,-122.68889,airport,geomet,MSC
104,Burns Lake Fire Centre_60,104,104,,BC_ENV-AQ_104,Canada,BC,54.2307,-125.7643,airport,geomet,MSC
1040,BIG SILVER 2,1040,1040,,BC_WMB_1040,Canada,BC,49.691,-121.85962,airport,geomet,MSC
1045,OSBORN,1045,1045,,BC_WMB_1045,Canada,BC,56.55833,-120.38194,airport,geomet,MSC
105,ROSSWOOD,105,105,,BC_WMB_105,Canada,BC,54.91693,-128.85965,airport,geomet,MSC
1055,SPLINTLUM,1055,1055,,BC_WMB_1055,Canada,BC,50.3513,-121.65495,airport,geomet,MSC
1056,TS MAURELLE,1056,1056,,BC_WMB_1056,Canada,BC,50.27092,-125.1309,airport,geomet,MSC
106,KITPARK,106,106,,BC_WMB_106,Canada,BC,54.1694,-128.5758,airport,geomet,MSC
1066,TS MCNABB,1066,1066,,BC_WMB_1066,Canada,BC,49.5855,-123.38722,airport,geomet,MSC
107,Pine River Gas Plant_60,107,107,,BC_ENV-AQ_107,Canada,BC,55.57,-121.9288,airport,geomet,MSC
1075,KOOCANUSA,1075,1075,,BC_WMB_1075,Canada,BC,49.04694,-115.22528,airport,geomet,MSC
108,DEASE LAKE FS,108,108,,BC_WMB_108,Canada,BC,58.4,-130.0,airport,geomet,MSC
1082,MAYSON,1082,1082,,BC_WMB_1082,Canada,BC,51.21111,-120.41197,airport,geomet,MSC
1083,MEAGER CREEK,1083,1083,,BC_WMB_1083,Canada,BC,50.61972,-123.41,airport,geomet,MSC
1092,RORY CREEK,1092,1092,,BC_WMB_1092,Canada,BC,50.61262,-116.79332,airport,geomet,MSC
1093,QUINSAM BASE FWX (TRIAL),1093,1093,,BC_WMB_1093,Canada,BC,50.02723,-125.29401,airport,geomet,MSC
10AD-M2,Hyland River B,10AD-M2,10AD-M2,,YT-DE-WRB_10AD-M2,Canada,YT,61.58019,-128.30507,airport,geomet,MSC
11,Winterland,11,11,,NL-DFFA_011,Canada,NL,47.131778,-55.32875,airport,geomet,MSC
110,Pine River Hasler_60,110,110,,BC_ENV-AQ_110,Canada,BC,55.6017,-121.9935,airport,geomet,MSC
1108,BLUE RIVER 2,1108,1108,,BC_WMB_1108,Canada,BC,52.12225,-119.2935833,airport,geomet,MSC
11091,BRANDYWINE,11091,11091,,BC_TRAN_11091,Canada,BC,50.05417,-123.11806,airport,geomet,MSC
11092,TANTALUS,11092,11092,,BC_TRAN_11092,Canada,BC,49.84347,-123.14339,airport,geomet,MSC
111,ATLIN,111,111,,BC_WMB_111,Canada,BC,59.58333,-133.66667,airport,geomet,MSC
11121,MT. STRACHAN PRECIP,11121,11121,,BC_TRAN_11121,Canada,BC,49.40431,-123.19144,airport,geomet,MSC
11122,MT. STRACHAN,11122,11122,,BC_TRAN_11122,Canada,BC,49.41003,-123.19636,airport,geomet,MSC
11128,PORTEAU COVE,11128,11128,,BC_TRAN_11128,Canada,BC,49.54671,-123.23985,airport,geomet,MSC
11191,EAGLE RIDGE,11191,11191,,BC_TRAN_11191,Canada,BC,49.37186,-123.26969,airport,geomet,MSC
112,ISKUT,112,112,,BC_WMB_112,Canada,BC,57.85667,-130.00833,airport,geomet,MSC
113,BOB QUINN LAKE,113,113,,BC_WMB_113,Canada,BC,56.9809,-130.2508,airport,geomet,MSC
1132,STATION BAY,1132,1132,,BC_WMB_1132,Canada,BC,50.50025,-119.7013889,airport,geomet,MSC
1144,FORD MOUNTAIN,1144,1144,,BC_WMB_1144,Canada,BC,49.1040278,-121.6375278,airport,geomet,MSC
1165,SEVEREID,1165,1165,,BC_WMB_1165,Canada,BC,54.16957,-121.65168,airport,geomet,MSC
117,Port Mellon_60,117,117,,BC_ENV-AQ_117,Canada,BC,49.5228,-123.4822,airport,geomet,MSC
1176,MUDPIT,1176,1176,,BC_WMB_1176,Canada,BC,51.31308,-119.3925,airport,geomet,MSC
118,HELMUT,118,118,,BC_WMB_118,Canada,BC,59.421,-120.78892,airport,geomet,MSC
1181,NORTH SLOQUET,1181,1181,,BC_WMB_1181,Canada,BC,49.74833,-122.28638,airport,geomet,MSC
119,NELSON FORKS,119,119,,BC_WMB_119,Canada,BC,59.61728,-124.09851,airport,geomet,MSC
12,Gander,12,12,,NL-DFFA_012,Canada,NL,48.944111,-54.557,airport,geomet,MSC
120,SILVER,120,120,,BC_WMB_120,Canada,BC,57.49678,-121.29695,airport,geomet,MSC
1203,DARKWOODS,1203,1203,,BC_WMB_1203,Canada,BC,49.3576111,-116.95025,airport,geomet,MSC
12092,TROUT LAKE,12092,12092,,BC_TRAN_12092,Canada,BC,49.50725,-123.87978,airport,geomet,MSC
121,PADDY,121,121,,BC_WMB_121,Canada,BC,57.78181,-120.2368,airport,geomet,MSC
1218,POWELL RIVER WEST LAKE,1218,1218,,BC_WMB_1218,Canada,BC,49.81806,-124.44944,airport,geomet,MSC
1221,MOUNT CAYLEY,1221,1221,,BC_WMB_1221,Canada,BC,50.0708,-123.2771,airport,geomet,MSC
124,GRAHAM,124,124,,BC_WMB_124,Canada,BC,56.43464,-122.45767,airport,geomet,MSC
1248,PG CENTRAL,1248,1248,,BC_WMB_1248,Canada,BC,53.90249,-122.796239,airport,geomet,MSC
1251,NARROWS INLET,1251,1251,,BC_WMB_1251,Canada,BC,49.751775,-123.7051389,airport,geomet,MSC
126,TOAD RIVER,126,126,,BC_WMB_126,Canada,BC,58.86585,-125.3107,airport,geomet,MSC
1268,VALEMOUNT AIRPORT,1268,1268,,BC_WMB_1268,Canada,BC,52.8597222,-119.3386111,airport,geomet,MSC
127,TUMBLER (DENISON),127,127,,BC_WMB_127,Canada,BC,55.02736,-120.93405,airport,geomet,MSC
1270,OLD FADDY,1270,1270,,BC_WMB_1270,Canada,BC,59.8928,-129.09333,airport,geomet,MSC
1275,APE LAKE,1275,1275,,BC_WMB_1275,Canada,BC,52.1345694,-126.2626806,airport,geomet,MSC
1276,MACHMELL KLINIKLINI,1276,1276,,BC_WMB_1276,Canada,BC,51.6555806,-126.1407444,airport,geomet,MSC
1277,WEST KELOWNA,1277,1277,,BC_WMB_1277,Canada,BC,49.8832,-119.5695,airport,geomet,MSC
1283,CHEAKAMUS,1283,1283,,BC_WMB_1283,Canada,BC,50.0825056,-123.0412722,airport,geomet,MSC
129,PINK MOUNTAIN,129,129,,BC_WMB_129,Canada,BC,57.07653,-122.55906,airport,geomet,MSC
13,Harcourt,13,13,,NL-DFFA_013,Canada,NL,48.241972,-53.876694,airport,geomet,MSC
131,MUSKWA,131,131,,BC_WMB_131,Canada,BC,57.88425,-123.6163,airport,geomet,MSC
132,HUDSON HOPE,132,132,,BC_WMB_132,Canada,BC,56.0347,-121.99021,airport,geomet,MSC
1323,LARCH HILLS WEST,1323,1323,,BC_WMB_1323,Canada,BC,50.6905556,-119.1761111,airport,geomet,MSC
1330,LODESTONE EXT,1330,1330,,BC_WMB_1330,Canada,BC,49.4696944,-120.7925,airport,geomet,MSC
1331,INKANEEP EXT,1331,1331,,BC_WMB_1331,Canada,BC,49.1046111,-119.3914167,airport,geomet,MSC
1332,GRIZZLY EXT,1332,1332,,BC_WMB_1332,Canada,BC,49.27,-119.2202778,airport,geomet,MSC
1345,SAWTOOTH,1345,1345,,BC_WMB_1345,Canada,BC,55.3072222,-125.3666667,airport,geomet,MSC
1348,KLINAKLINI,1348,1348,,BC_WMB_1348,Canada,BC,51.38002,-125.76953,airport,geomet,MSC
1349,HOMATHKO,1349,1349,,BC_WMB_1349,Canada,BC,51.10187,-124.950181,airport,geomet,MSC
1350,LOWER CAIN,1350,1350,,BC_WMB_1350,Canada,BC,50.22575,-126.3563,airport,geomet,MSC
1359,STATION BAY 2,1359,1359,,BC_WMB_1359,Canada,BC,50.50025,-119.7013889,airport,geomet,MSC
136,WONOWON,136,136,,BC_WMB_136,Canada,BC,56.7185,-121.76543,airport,geomet,MSC
1375,FRANK CREEK,1375,1375,,BC_WMB_1375,Canada,BC,49.8744444,-122.2811111,airport,geomet,MSC
1377,FORRESTKERR,1377,1377,,BC_WMB_1377,Canada,BC,56.7116389,-130.6783611,airport,geomet,MSC
1378,TS ATLUCK,1378,1378,,BC_WMB_1378,Canada,BC,50.2678056,-127.0796111,airport,geomet,MSC
138,Prince George Glenview School Met_60,138,138,,BC_ENV-AQ_138,Canada,BC,53.996,-122.776,airport,geomet,MSC
1383,CHEF CREEK TEST,1383,1383,,BC_WMB_1383,Canada,BC,50.0825,-123.0413,airport,geomet,MSC
1387,PLUMMER HUT,1387,1387,,BC_WMB_1387,Canada,BC,51.3735,-125.1645,airport,geomet,MSC
